id_ies,cod,nome,categoria,sigla,tipo_organizacao
630,843,"FACULDADE DE CIÊNCIAS E TECNOLOGIA DE BIRIGUI","Pública Municipal",FATEB,Faculdade
631,1307,"FACULDADE DE ENSINO SUPERIOR E FORMAÇÃO INTEGRAL","Privada com fins lucrativos",FAEF,Faculdade
632,845,"FACULDADE DA FUNDAÇÃO EDUCACIONAL ARAÇATUBA","Pública Municipal",FAC-FEA,"Centro Universitário"
633,846,"FACULDADE DE ADMINISTRAÇÃO DE TERESINA","Privada sem fins lucrativos",FAT,Faculdade
634,1656,"INSTITUTO DE ENSINO SUPERIOR DE TERESINA","Privada sem fins lucrativos",IEST,Faculdade
635,2150,"FACULDADE DO PIAUÍ","Privada com fins lucrativos",FAPI,Faculdade
636,847,"FACULDADE PIAUIENSE DE PROCESSAMENTO DE DADOS","Privada sem fins lucrativos",FPPD,Faculdade
637,3784,"INSTITUTO DE ENSINO SUPERIOR DO RIO GRANDE DO NORTE","Privada com fins lucrativos",IESRN,Faculdade
638,1462,"INSTITUTO PARAIBANO DE ENSINO RENOVADO","Privada com fins lucrativos",INPER,Faculdade
639,848,"FACULDADE PARAIBANA DE PROCESSAMENTO DE DADOS","Privada com fins lucrativos",FPPD,Faculdade
640,2243,"FACULDADE PARAÍBANA","Privada com fins lucrativos",FAP,Faculdade
641,2908,"CENTRO UNIVERSITÁRIO NATALENSE","Privada com fins lucrativos",,"Centro Universitário"
642,849,"FACULDADE JESUÍTA DE FILOSOFIA E TEOLOGIA","Privada sem fins lucrativos",FAJE,Faculdade
643,1182,"INSTITUTO DE ENSINO SUPERIOR DE AMERICANA","Privada com fins lucrativos",IESA,Faculdade
644,1872,"FACULDADES INTEGRADAS SANTA CRUZ DE CURITIBA","Privada sem fins lucrativos",FARESC,Faculdade
645,861,"CENTRO DE ENSINO SUPERIOR DO AMAPÁ","Privada com fins lucrativos",CEAP,Faculdade
646,1032,"CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO","Privada sem fins lucrativos",UNISAL,"Centro Universitário"
647,873,"FACULDADES UNIFICADAS DE FOZ DO IGUAÇU","Privada com fins lucrativos",UNIFOZ,Faculdade
648,874,"FACULDADE DE ESTUDOS SOCIAIS APLICADOS DE VIANA","Privada sem fins lucrativos",FESAV,Faculdade
649,1550,"FACULDADE DE EDUCAÇÃO FÍSICA DE FOZ DO IGUAÇU","Privada com fins lucrativos",,Faculdade
650,877,"FACULDADE DE ECONOMIA E PROCESSAMENTO DE DADOS DE FOZ DO IGUAÇU","Privada com fins lucrativos",FEPI,Faculdade
651,2165,"FACULDADE FOZ DO IGUAÇU","Privada com fins lucrativos",FAFIG,Faculdade
652,2086,"INSTITUTO DE ENSINO SUPERIOR DE FOZ DO IGUAÇU","Privada com fins lucrativos",IESFI,Faculdade
653,881,"INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE ASSIS",Especial,IMESA,Faculdade
654,882,"INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE BEBEDOURO VICTÓRIO CARDASSI","Pública Municipal",IMESB,Faculdade
655,890,"ESCOLA DE GOVERNO PROFESSOR PAULO NEVES DE CARVALHO","Pública Estadual",EG,Faculdade
656,1038,"FACULDADES INTEGRADAS DE TRÊS LAGOAS","Privada sem fins lucrativos",AEMS,Faculdade
